City,Country,Smart Parking,Car Sharing Services,Traffic,Public Transport,E-Charge Spots,Infrastructure Investment,Clean Energy,Smart Building,Waste Disposal,Environment Protection,Environmental Performance Index,Citizen Participation,Digitalization of Government,Urban Planning,Education,Business Ecosystem,Blockchain ecosystem,4G LTE,Internet speed,Wifi Hotspots,Smartphone Penetration,Cyber security,Living Standard,Expert Perception,Rank/Score,IMD Smart City Index
Luxembourg,Luxembourg,1,5.16,4.25,9.09,1.68,1.3,5.85,5.08,8.32,7.73,8.47,9.84,7.2,7.96,9.7,9.85,7.03,4.4,2.44,2.13,9.92,6.82,9.77,6.57,6.43,
Lyon,France,8.22,6.52,5.76,7.13,8.94,7.2,3.85,8.34,6.34,8.11,9.85,5.11,6.37,9.02,8.34,6.9,8.12,8.79,9.39,6.45,3.67,6.75,4.4,3.14,6.51,23
Madrid,Spain,8.22,8.18,7.58,3.57,8.03,4.71,6.08,5.69,5.27,3.5,7.41,7.13,5.16,6.45,1.64,2.44,7.03,7.96,9.62,8.56,5.12,2.74,2.51,6.57,5.69,21
Marseille,France,8.22,4.71,2.36,6.37,7.66,7.2,3.85,8.34,6.34,6.67,9.85,4.26,2.74,1.45,5.92,5.01,8.9,5.08,4.86,6.07,3.67,6.75,4.93,6.57,5.65,
Melbourne,Australia,7.38,6.6,4.25,9.24,8.41,7.5,2.77,6.29,4.2,1.38,4.89,9.84,4.1,6.37,2.36,2.06,3.5,5.92,2.13,7.73,4.97,9.62,6.45,6.57,6.04,24
Milan,Italy,6.44,8.11,5.01,1.3,6.67,5.54,6.92,7.81,7.25,5.39,6.11,5.66,1.83,6.6,4.52,3.95,7.03,7.35,6.97,5.76,4.66,3.95,3.5,9.16,5.69,22
Montreal,Canada,6.44,9.55,5.76,7.35,9.92,5.92,9.23,4.4,3.82,2.36,4.43,3.33,6.75,9.85,4.03,4.86,7.5,9.32,8.87,8.34,7.33,9.92,5.84,9.16,7.22,16
Moscow,Russia,2.78,9.47,1.45,1.08,9.09,6.22,4.15,4.03,2.07,1.08,2.53,1.54,9.39,6.29,1.53,1,9.06,1.68,2.29,10,2.6,4.1,1.68,6.64,4.29,72
Munich,Germany,5.13,9.32,5.01,2.74,6.6,8.79,5.77,10,9.92,4.33,7.25,7.75,2.13,8.49,4.82,3.87,8.9,4.1,5.99,5.01,6.49,5.69,6.37,9.16,6.45,
Nantes,France,6.44,4.25,7.58,5.24,2.36,7.2,3.85,8.34,6.34,9.24,9.85,4.8,8.49,5.54,7.69,7.96,7.03,6.45,6.67,1.08,3.67,6.75,5.08,3.14,5.66,
Naples,Italy,5.13,1.45,4.25,1.3,1.38,5.54,6.92,7.81,7.25,5.92,6.11,5.58,4.78,1.3,4.86,4.25,7.03,5.99,5.16,2.66,4.66,3.95,4.18,3.52,4.34,
New York,United States,9.63,7.5,3.5,5.69,9.55,9.77,2.46,9.02,5.81,1,4.05,2.55,8.18,9.39,2.82,3.12,9.92,3.72,6.37,9.32,7.03,6.22,8.49,7.25,6.65,38
Nice,France,6.44,3.57,5.76,5.08,4.1,7.2,3.85,8.34,6.34,9.02,9.85,4.41,5.69,2.29,6.97,8.56,7.03,8.03,8.79,2.21,3.67,6.75,4.55,3.14,5.52,
Odense,Denmark,7.38,2.82,9.47,4.78,4.63,7.88,8.54,6.75,8.25,9.17,9.31,9.38,8.41,4.55,8.98,9.09,1.31,7.96,7.35,2.82,9.69,7.2,8.56,6.57,7.14,
Osaka,Japan,2.78,8.94,7.28,6.67,8.49,9.24,4,8.49,3.44,2.82,5.04,2.47,7.05,6.14,3.84,2.74,1.47,1.91,3.65,6.29,1.76,9.32,5.01,9.16,5.77,63
Oslo,Norway,5.13,7.13,5.01,8.56,8.87,4.18,9.92,1.76,8.25,6.14,6.49,8.22,7.43,7.35,5.42,5.31,3.82,9.85,9.47,5.99,9.16,9.09,9.55,9.16,7.63,3
Ottawa,Canada,5.13,5.24,6.37,8.71,9.39,5.92,9.23,4.4,3.82,3.8,4.43,7.05,6.22,9.7,5.31,5.46,3.11,7.05,4.93,7.5,7.33,9.92,5.61,9.47,6.87,
Oulu,Finland,1,2.13,8.71,9.62,7.2,2.89,7.92,3.65,5.27,7.35,8.25,4.34,5.08,7.05,8.6,9.24,7.03,7.5,6.45,5.61,8.86,8.71,7.13,3.14,6.26,
Paris,France,8.22,9.92,2.89,2.66,7.28,7.2,3.85,8.34,6.34,4.55,9.85,5.34,9.39,9.47,3.72,4.33,9.61,7.96,8.49,5.99,3.67,6.75,3.72,6.57,6.33,51
Perth,Australia,7.38,1.23,6.67,9.85,7.43,7.5,2.77,6.29,4.2,1.98,4.89,9.3,3.34,3.27,3.19,4.1,2.64,4.93,1.53,7.81,4.97,9.62,7.28,6.57,5.84,
Perugia,Italy,2.78,2.29,9.47,4.63,4.03,5.54,6.92,7.35,7.25,9.7,6.11,7.44,3.12,4.55,8.83,7.58,7.03,5.61,4.78,3.87,4.66,3.95,4.78,1.15,4.99,
Philadelphia,United States,9.25,5.69,8.71,6.97,4.48,9.77,2.46,9.02,5.81,2.66,4.05,2.94,6.37,9.32,5.01,5.69,8.43,5.46,8.56,6.67,7.03,6.22,9.39,3.14,6.45,54
Prague,Czech Republic,2.78,6.82,6.37,5.16,7.81,1.83,1.85,2.82,2.83,4.1,3.21,1.85,3.87,7.66,4.44,4.71,3.19,6.22,3.87,8.03,3.14,4.93,2.82,6.57,4.63,19
Reykjavik,Iceland,1,2.51,4.25,10,3.95,1,10,1.08,3.52,9.62,7.48,8.06,6.82,4.55,9.43,9.55,8.9,9.77,9.92,4.1,5.35,4.78,8.03,9.16,6.54,
Riga,Latvia,1,3.12,8.71,6.75,4.18,1.15,8.08,1.98,2.3,7.5,3.06,3.02,8.56,2.82,5.54,5.54,9.22,2.89,2.97,6.67,2.45,4.33,2.89,3.14,4.21,
Rome,Italy,8.22,8.34,2.36,1.68,8.71,5.54,6.92,7.81,7.25,4.25,6.11,5.97,1.38,9.09,2.74,2.97,7.03,2.59,1.68,8.26,4.66,3.95,3.57,1.15,4.61,77
San Francisco,United States,9.63,9.02,2.59,6.22,6.07,9.77,2.46,9.02,5.81,4.4,4.05,2.78,5.76,1.68,6.94,7.13,10,3.19,5.39,6.37,7.03,6.22,8.41,6.57,6.26,12
Seoul,South Korea,5.13,9.77,2.36,7.05,6.52,6.67,1.38,5.24,8.7,1.15,2.3,6.28,3.87,5.31,1.49,1.98,1,7.66,7.5,8.64,7.64,4.71,3.27,9.16,5.56,47
Shanghai,China,2.78,9.85,1.91,7.66,9.02,10,4.54,5.39,1.61,1.83,1.31,1,2.44,5.31,1.3,1.68,7.18,2.66,3.57,9.24,2.22,1.98,1.08,9.16,4.46,59
Singapore,Singapore,6.44,6.9,3.8,8.79,7.05,1.76,1.46,6.37,9.08,2.13,2.68,10,3.27,3.34,1.19,3.42,7.65,9.92,10,9.09,9.77,10,8.34,10,7.07,1
St Petersburg,Russia,5.13,6.29,1.91,2.29,5.69,6.22,4.15,4.03,2.07,1.76,2.53,1.47,4.63,2.89,2.55,1.61,7.42,4.18,6.67,8.11,2.6,4.1,2.36,6.57,4.2,73
Stavanger,Norway,5.13,4.4,8.03,8.71,1.45,4.18,9.92,1.76,8.25,9.39,6.49,7.36,8.03,4.55,9.92,8.94,1.78,10,9.77,1.45,9.16,9.09,10,3.14,6.81,
Stockholm,Sweden,8.22,7.88,6.37,4.1,6.82,3.34,8.92,5.01,8.7,6.9,8.93,9.22,10,7.5,5.05,5.39,3.27,6.82,7.05,5.08,8.02,7.73,7.81,10,7.29,25
Strasbourg,France,5.13,6.14,6.37,5.54,3.34,7.2,3.85,8.34,6.34,9.47,9.85,4.65,7.73,7.05,7.96,7.66,7.03,8.34,9.17,1.68,3.67,6.75,5.24,6.57,6.29,
Stuttgart,Germany,1,8.26,3.8,3.95,7.35,8.79,5.77,10,9.92,6.07,7.25,8.37,1.76,4.93,7.81,6.07,8.9,3.8,5.69,3.65,6.49,5.69,7.73,6.57,6.17,
Sydney,Australia,2.78,7.81,2.59,9.32,7.58,7.5,2.77,6.29,4.2,1.3,4.89,9.92,3.72,7.28,2.17,2.89,7.26,9.24,5.84,9.17,4.97,9.62,6.07,6.57,6.28,14
Taipei,Taiwan,5.13,1.61,2.36,8.26,8.11,4.4,1.62,4.1,9.16,2.44,4.51,5.97,7.5,9.62,2.97,3.04,3.58,9.09,8.26,6.67,7.41,7.35,9.17,9.16,6.57,7
Tallinn,Estonia,2.78,3.87,4.33,8.41,2.66,1.23,2.92,1.38,3.14,6.22,2.75,4.1,9.92,8.11,6.6,7.05,8.12,6.29,6.52,4.33,2.68,7.81,3.04,9.47,5.44,
Tampere,Finland,2.78,1.98,9.85,8.94,4.78,2.89,7.92,3.65,5.27,7.58,8.25,4.57,9.85,7.05,8.87,9.7,7.03,4.63,2.82,4.86,8.86,8.71,6.52,3.14,6.09,
Tel Aviv,Israel,5.13,6.75,3.5,4.48,1.98,3.12,1.54,5.84,2.75,6.52,5.12,3.25,7.88,8.87,6.97,8.34,3.9,2.06,3.72,4.18,6.49,2.36,2.66,10,4.96,46
Tokyo,Japan,8.22,8.79,2.36,8.11,10,9.24,4,8.49,3.44,1.61,5.04,2.47,6.52,6.22,2.17,2.13,1.47,1.83,3.27,9.77,1.76,9.32,3.95,10,5.88,62
Toronto,Canada,5.13,9.24,5.01,6.14,9.24,5.92,9.23,4.4,3.82,1.68,4.43,5.81,2.97,9.92,2.93,3.57,8.2,7.58,5.54,8.18,7.33,9.92,5.46,9.16,6.68,15
Trondheim,Norway,5.13,4.33,9.47,9.7,6.14,4.18,9.92,1.76,8.25,9.09,6.49,7.59,8.87,4.55,9.28,8.11,1.78,9.39,8.11,3.57,9.16,9.09,9.7,3.14,7.02,
Turin,Italy,7.38,5.39,7.58,1.38,1.91,5.54,6.92,7.81,7.25,6.37,6.11,6.12,2.06,7.43,5.2,5.16,7.03,5.16,4.03,3.27,4.66,3.95,4.71,7.25,5.28,
Turku,Finland,1,2.21,9.47,8.34,3.27,2.89,7.92,3.65,5.27,7.43,8.25,5.27,4.18,4.55,8.68,9.17,7.03,8.41,7.66,3.27,8.86,8.71,6.9,7.25,6.39,
Vancouver,Canada,5.13,10,2.59,6.29,5.92,5.92,9.23,4.4,3.82,4.86,4.43,4.96,7.96,6.67,6.79,7.2,7.57,9.55,9.24,4.78,7.33,9.92,5.39,7.25,6.73,13
Vantaa,Finland,1,5.92,9.85,7.88,3.8,2.89,7.92,3.65,5.27,7.13,8.25,3.87,8.94,4.55,8.11,8.49,7.03,6.07,4.33,2.74,8.86,8.71,5.92,3.14,5.84,
Västerås,Sweden,7.38,3.19,8.03,4.93,1.23,3.34,8.92,5.01,8.7,9.92,8.93,8.99,9.09,4.55,10,9.47,2.49,9.24,9.7,1.3,8.02,7.73,9.09,6.57,7,
Verona,Italy,6.44,1.91,9.47,3.19,3.87,5.54,6.92,7.35,7.25,9.32,6.11,7.28,7.35,7.05,7.73,7.28,7.03,7.73,7.28,2.97,4.66,3.95,4.25,3.52,5.59,
Vienna,Austria,5.13,8.49,4.63,6.14,8.18,1.53,9.54,5.92,10,4.18,8.4,8.6,1.98,7.81,3.61,3.8,7.03,8.94,8.18,7.2,10,7.5,8.64,9.16,7.17,17
"Washington, DC",United States,9.63,8.56,5.76,1.15,6.22,9.77,2.46,9.02,5.81,4.78,4.05,3.64,9.77,9.77,7.62,7.81,9.37,3.57,6.07,7.05,7.03,6.22,8.79,6.57,6.82,31
Zurich,Switzerland,7.38,7.58,4.63,7.73,3.04,4.33,8.92,7.5,8.93,8.87,10,2.01,8.64,4.86,7.2,8.71,4.05,8.87,9.02,3.12,7.79,7.96,9.62,6.57,7.05,2
